Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
7-May-15,113.42,"$1,187.00",95.9224,113.8599,113.457,$113.44,-0.02%,4282967,23761681.18,739.07,2.82E+10
8-May-15,113.97,"$1,186.00",95.92131,113.7627,113.955,$113.98,0.02%,9963722,23416364.46,728.32,2.78E+10
11-May-15,113.53,"$1,189.25",95.91829,114.0708,113.538,$113.53,-0.01%,2666352,23416364.46,728.32,2.78E+10
12-May-15,114.5,"$1,191.50",95.91733,114.2855,114.477,$114.48,0.00%,2598681,23416364.46,728.32,2.79E+10
13-May-15,116.55,"$1,210.50",95.91709,116.1076,116.554,$116.54,-0.01%,11139311,23416364.46,728.32,2.83E+10
14-May-15,117.18,"$1,225.00",95.91665,117.4979,117.157,$117.21,0.04%,5478472,23274469.36,723.91,2.85E+10
15-May-15,117.53,"$1,220.50",95.91552,117.0649,117.497,$117.50,0.00%,4194292,23274469.36,723.91,2.84E+10
18-May-15,117.52,"$1,223.50",95.91243,117.3489,117.531,$117.53,0.00%,5079579,23092235.74,718.24,2.82E+10
19-May-15,115.89,"$1,214.30",95.91118,116.4649,115.899,$115.90,0.00%,5014931,23092235.74,718.24,2.80E+10
20-May-15,116.08,"$1,210.50",95.91005,116.0991,116.07,$116.07,0.00%,4424296,22996325.69,715.26,2.78E+10
21-May-15,115.69,"$1,205.00",95.90887,115.5702,115.724,$115.70,-0.02%,2286343,22996325.69,715.26,2.77E+10
22-May-15,115.6,"$1,204.10",95.9078,115.4826,115.617,$115.61,-0.01%,1776225,22996325.69,715.26,2.77E+10
25-May-15,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
26-May-15,113.91,"$1,185.40",95.90307,113.6835,113.904,$113.91,0.01%,5762894,23015506.31,715.86,2.73E+10
27-May-15,113.89,"$1,185.85",95.90203,113.7254,113.903,$113.90,0.00%,2693082,23015506.31,715.86,2.73E+10
28-May-15,114.02,"$1,185.00",95.90095,113.6426,113.997,$114.02,0.02%,4533934,23015506.31,715.86,2.73E+10
29-May-15,114.1,"$1,191.40",95.9001,114.2554,114.112,$114.11,0.00%,2802975,23015506.31,715.86,2.74E+10
1-Jun-15,114,"$1,199.90",95.89723,115.0671,114.06,$113.99,-0.06%,8698003,22957967.97,714.07,2.75E+10
2-Jun-15,114.46,"$1,192.80",95.89594,114.3847,114.428,$114.46,0.03%,3417568,22823713.65,709.89,2.72E+10
3-Jun-15,113.64,"$1,190.00",95.89479,114.1148,113.655,$113.67,0.01%,4885074,22823713.65,709.89,2.71E+10
4-Jun-15,112.84,"$1,176.00",95.89322,112.7704,112.809,$112.87,0.05%,4992381,22823713.65,709.89,2.68E+10
5-Jun-15,112.24,"$1,164.60",95.89172,111.6755,112.28,$112.27,-0.01%,4642593,22785356.97,708.7,2.65E+10
8-Jun-15,112.57,"$1,172.80",95.88891,112.4585,112.583,$112.57,-0.01%,3110646,22785356.97,708.7,2.67E+10
9-Jun-15,112.82,"$1,177.40",95.88806,112.8986,112.841,$112.81,-0.03%,3536401,22689468.91,705.72,2.67E+10
10-Jun-15,113.78,"$1,188.50",95.88748,113.9623,113.78,$113.77,-0.01%,5402267,22641525.17,704.22,2.69E+10
11-Jun-15,113.26,"$1,178.50",95.88599,113.0016,113.308,$113.29,-0.02%,4433282,22641525.17,704.22,2.67E+10
12-Jun-15,113.23,"$1,182.80",95.88513,113.4129,113.269,$113.24,-0.03%,3073498,22633793.87,703.98,2.68E+10
15-Jun-15,113.73,"$1,181.40",95.88195,113.2749,113.802,$113.71,-0.08%,4310596,22566676.51,701.9,2.67E+10
16-Jun-15,113.32,"$1,177.75",95.88083,112.9236,113.336,$113.32,-0.01%,4032573,22566676.51,701.9,2.66E+10
17-Jun-15,113.85,"$1,178.00",95.87978,112.9464,113.838,$113.82,-0.02%,6820852,22566676.51,701.9,2.66E+10
18-Jun-15,115.32,"$1,201.85",95.87925,115.2325,115.271,$115.29,0.02%,6594002,22566676.51,701.9,2.71E+10
19-Jun-15,115.12,"$1,203.40",95.87823,115.3799,115.111,$115.12,0.01%,3321935,22566676.51,701.9,2.71E+10
